image,prediction,mean_luminance,rms_contrast,entropy,sharpness_laplacian_var,colorfulness,noise_sigma,underexposed_ratio,overexposed_ratio,brightness_gain,loe,niqe,brisque,piqe,musiq,maniqa,clipiqa,psnr,ssim,lpips
00690.png,00690.png,0.5342657566070557,0.16293887794017792,7.173336521999351,0.007615163456648588,31.884571075439453,0.00216523690015899,0.0,0.0021333333333333334,0.4749992787837982,71.5668,4.5264146548029025,23.74359130859375,44.156951904296875,69.9728012084961,0.45019975304603577,0.3673175871372223,20.72886859297111,0.8672101497650146,0.10093747824430466
00691.png,00691.png,0.5333964228630066,0.16304895281791687,7.178739227576737,0.007581667508929968,31.712745666503906,0.0021478449289454873,0.0,0.0021,0.4743536710739136,72.5928,4.754199470697158,21.99114990234375,43.15877914428711,70.60310363769531,0.44353359937667847,0.3883820176124573,20.43560920200829,0.8299543261528015,0.10912102460861206
00692.png,00692.png,0.45538654923439026,0.1761900782585144,7.252273785389492,0.016051791608333588,29.209396362304688,0.002865913542754455,0.0,5e-05,0.41089075803756714,89.5748,4.563684179033364,33.16253662109375,61.183528900146484,72.8569564819336,0.46634170413017273,0.24758782982826233,26.956444349412898,0.9058642387390137,0.07251251488924026
00693.png,00693.png,0.4353465735912323,0.17421580851078033,7.21665152520023,0.015661535784602165,27.262670516967773,0.002824766674207198,0.0,4.5833333333333334e-05,0.39151814579963684,87.7904,4.685748730315698,34.25115966796875,60.50179672241211,74.03518676757812,0.4681040048599243,0.2734021544456482,28.81580876270251,0.9127907752990723,0.06260304152965546
00694.png,00694.png,0.4627770483493805,0.18412913382053375,7.24210652269183,0.013442398980259895,19.785316467285156,0.002656113605678236,0.0,2.9166666666666666e-05,0.41596534848213196,89.7708,4.655227672325737,41.44061279296875,60.486732482910156,70.0347900390625,0.4450409710407257,0.20157550275325775,29.011916209600166,0.9066023826599121,0.056213393807411194
00695.png,00695.png,0.4624834656715393,0.1839572936296463,7.24188100977537,0.013429369777441025,19.754779815673828,0.0026474194035801674,0.0,1.6666666666666667e-05,0.41574063897132874,89.1056,4.607586209275306,42.41351318359375,61.008445739746094,70.6741714477539,0.4391244649887085,0.21316705644130707,29.1762777673721,0.9064504504203796,0.05698290839791298
00696.png,00696.png,0.42053502798080444,0.20368067920207977,7.472249554106893,0.010263671167194843,27.594860076904297,0.0023164899429191097,0.0,0.0002875,0.392294704914093,152.7716,4.4321252052734,9.89166259765625,43.35984420776367,68.19355773925781,0.40061530470848083,0.24794237315654755,25.62408619386033,0.8831643462181091,0.1327126920223236
00697.png,00697.png,0.41978687047958374,0.20357486605644226,7.47340307529408,0.010391345247626305,27.74447250366211,0.0023216896186507847,0.0,0.00023333333333333333,0.3915628492832184,153.868,4.285185500968298,10.76678466796875,42.571441650390625,68.49296569824219,0.40186721086502075,0.24252167344093323,25.522967205638647,0.8773260116577148,0.13614946603775024
00698.png,00698.png,0.4917314052581787,0.14918795228004456,7.026169745692759,0.004669871646910906,38.436073303222656,0.0018881929900416965,0.0,0.001925,0.4633197784423828,148.9256,4.461218145617962,26.47967529296875,49.492584228515625,64.67594909667969,0.2852938771247864,0.23208919167518616,19.80679381197655,0.883881151676178,0.11785251647233963
00699.png,00699.png,0.490714430809021,0.14983025193214417,7.039605883061894,0.00467904144898057,38.22649383544922,0.0018858640153654044,0.0,0.0019291666666666667,0.462197870016098,149.1332,4.3919339941530495,27.80230712890625,49.5279655456543,64.61943817138672,0.2882624864578247,0.23645944893360138,19.6857486663352,0.8643796443939209,0.12481735646724701
