file,height,width,inference_ms,psnr,ssim,lpips,lpips_256,lambda_mean,lambda_min,lambda_max,attention_mean,attention_min,attention_max,dark_prior_mean,effective_gain_mean,illumination_gain_mean
1003_UHD_LL.JPG,540,960,270.8274100004928,19.694623576621254,0.8180050849914551,0.22052286565303802,0.13942570984363556,1.134364366531372,0.8154674768447876,1.337464451789856,0.9999998211860657,0.9376674294471741,1.0,0.8427236676216125,1.134364366531372,2.134364128112793
1009_UHD_LL.JPG,540,960,268.7944770004833,21.46164841422205,0.9518164992332458,0.04034548997879028,0.020726781338453293,1.0316658020019531,0.255160927772522,1.331526517868042,1.0,0.9652205109596252,1.0,0.7704974412918091,1.0316658020019531,2.031665802001953
1024_UHD_LL.JPG,540,960,270.1119920020574,21.492965800885667,0.945512056350708,0.06226624920964241,0.03301144763827324,1.080096960067749,0.4165631830692291,1.3330286741256714,1.0,0.956811785697937,1.0,0.8013215065002441,1.080096960067749,2.08009672164917
1043_UHD_LL.JPG,540,960,268.8531539970427,18.306366953530247,0.9054207801818848,0.1218891590833664,0.07661478966474533,1.1121317148208618,0.5487300157546997,1.3427209854125977,1.0,0.9602994918823242,1.0,0.8244448304176331,1.1121317148208618,2.1121315956115723
1085_UHD_LL.JPG,540,960,270.5215620007948,20.918167780508355,0.8843259811401367,0.05756845697760582,0.036569107323884964,1.1924737691879272,0.6122417449951172,1.3491203784942627,0.999999463558197,0.5865509510040283,1.0,0.8846449255943298,1.1924731731414795,2.192472457885742
1102_UHD_LL.JPG,540,960,268.5478460043669,18.510550288721756,0.905663013458252,0.06456106156110764,0.03384731709957123,0.8025598526000977,0.2422366738319397,1.3327155113220215,0.9999992847442627,0.49490126967430115,1.0,0.6455641388893127,0.8025590181350708,1.8025587797164917
1124_UHD_LL.JPG,540,960,268.8200659977156,21.60154077709422,0.9242587685585022,0.05451907217502594,0.02387876808643341,0.864983856678009,0.3043133318424225,1.3342621326446533,0.9999991655349731,0.43110233545303345,1.0,0.6850125789642334,0.8649827837944031,1.8649826049804688
1142_UHD_LL.JPG,540,960,270.5463239981327,22.102163549520508,0.9308196902275085,0.053045231848955154,0.02297341264784336,0.8755837082862854,0.3124872148036957,1.3311387300491333,0.9999991655349731,0.45750588178634644,1.0,0.6914854645729065,0.8755826950073242,1.8755825757980347
1165_UHD_LL.JPG,540,960,270.7011809980031,26.521765517711827,0.9326429963111877,0.07312481105327606,0.021228376775979996,1.0998048782348633,0.5807198882102966,1.3495389223098755,0.9999990463256836,0.32844260334968567,1.0,0.8184232711791992,1.0998036861419678,2.0998032093048096
1184_UHD_LL.JPG,540,960,271.9076890061842,20.193373764789165,0.8788861632347107,0.13450103998184204,0.05137255787849426,1.0485968589782715,0.6028872132301331,1.3493404388427734,0.9999990463256836,0.3120115399360657,1.0,0.7880558371543884,1.048595666885376,2.048595428466797
1188_UHD_LL.JPG,540,960,269.1388579987688,17.070050358616086,0.9126299619674683,0.16714081168174744,0.11097820848226547,1.075985074043274,0.8793841600418091,1.340187668800354,0.9999998211860657,0.9315763115882874,1.0,0.7976942658424377,1.0759849548339844,2.0759847164154053
1191_UHD_LL.JPG,540,960,271.0065119972569,8.66990434971626,0.6681084036827087,0.41383570432662964,0.27157720923423767,1.14304780960083,0.8240147233009338,1.3455324172973633,0.9999997019767761,0.7497826218605042,1.0,0.8470557332038879,1.143047571182251,2.1430470943450928
1223_UHD_LL.JPG,540,960,271.3175729950308,13.396968984742204,0.7503163814544678,0.1520540714263916,0.08007243275642395,1.1577188968658447,0.22073166072368622,1.3491734266281128,0.9999997615814209,0.8353829979896545,1.0,0.8578110337257385,1.157718539237976,2.1577179431915283
1246_UHD_LL.JPG,540,960,273.67821899679257,23.254393067120983,0.8824509978294373,0.10986191779375076,0.050005022436380386,1.1671428680419922,0.25317198038101196,1.3480093479156494,0.9999997615814209,0.8304428458213806,1.0,0.8661060333251953,1.167142629623413,2.167142152786255
1256_UHD_LL.JPG,540,960,273.079675003828,30.218703793471143,0.9605054259300232,0.019492313265800476,0.011649934574961662,0.8377624750137329,0.17492055892944336,1.3209120035171509,0.9999999403953552,0.91275954246521,1.0,0.6792644262313843,0.8377623558044434,1.8377623558044434
1277_UHD_LL.JPG,540,960,269.36865300376667,32.521790269510696,0.9725776314735413,0.057433001697063446,0.014925953932106495,0.9968851208686829,0.8977479934692383,1.3424848318099976,0.9999998211860657,0.9430932402610779,1.0,0.7398281693458557,0.9968850612640381,1.9968849420547485
1294_UHD_LL.JPG,540,960,270.3470160049619,27.445662224995495,0.9507638812065125,0.023943578824400902,0.009164675138890743,0.9509950280189514,0.24704036116600037,1.3326655626296997,0.9999998211860657,0.8850536346435547,1.0,0.7458761930465698,0.9509949088096619,1.9509947299957275
