image,prediction,mean_luminance,rms_contrast,entropy,sharpness_laplacian_var,colorfulness,noise_sigma,underexposed_ratio,overexposed_ratio,brightness_gain,loe,niqe,brisque,piqe,musiq,maniqa,clipiqa,psnr,ssim,lpips
1.png,1.png,0.43329527974128723,0.25852134823799133,7.161394857332575,0.005834563169628382,43.23063278198242,0.002381414664282837,0.0,0.0,0.3353777527809143,58.7068,5.00151700400437,28.87579345703125,55.25116729736328,68.41519165039062,0.3961324691772461,0.2635507583618164,21.649207141399366,0.8831300735473633,0.09586484730243683
111.png,111.png,0.47780942916870117,0.15786898136138916,7.092098114357406,0.0026556006632745266,12.401712417602539,0.0019293355436485933,0.0,0.0008625,0.40223366022109985,76.4928,4.9979342499571215,35.64068603515625,56.76515579223633,73.27533721923828,0.4141519367694855,0.5021941661834717,19.31819495977188,0.905758798122406,0.09876471757888794
146.png,146.png,0.4930710792541504,0.19681820273399353,6.675807312855307,0.01392110250890255,30.26234245300293,0.002307770656634413,0.0,0.0,0.3985389471054077,56.412,5.08025414186207,8.25970458984375,49.239044189453125,68.36798095703125,0.5015288591384888,0.3586541712284088,24.615773321440514,0.8920740485191345,0.0849815309047699
179.png,179.png,0.37185677886009216,0.0993945449590683,6.449822057968385,0.007625705562531948,63.41023635864258,0.0033179797185676186,0.0,1.25e-05,0.29812800884246826,136.258,2.9917717248187494,7.18438720703125,30.7036075592041,72.22357177734375,0.4828680157661438,0.511936604976654,18.373544867646743,0.7733540534973145,0.11021887511014938
22.png,22.png,0.5142639875411987,0.22983278334140778,7.329397459531817,0.0038573802448809147,16.008106231689453,0.001985555534459773,0.0,4.166666666666667e-06,0.43855708837509155,68.8048,4.299468866149315,27.89617919921875,59.757137298583984,72.3931655883789,0.4455530047416687,0.30178219079971313,27.01639603394771,0.8932941555976868,0.12125750631093979
23.png,23.png,0.4611150324344635,0.21109162271022797,7.226172389697021,0.0032142819836735725,11.842172622680664,0.0018406695026301116,0.0,0.0,0.42284390330314636,105.2696,4.625507622137773,32.25286865234375,57.09513854980469,67.88567352294922,0.3749306797981262,0.3748633563518524,17.653785133041488,0.8308849334716797,0.2190299928188324
493.png,493.png,0.37401771545410156,0.19094087183475494,7.4209229972235855,0.006195533089339733,48.20004653930664,0.0025674423867313224,0.0,0.0,0.3490910828113556,124.0632,3.6338422335986644,13.27801513671875,49.522762298583984,72.50044250488281,0.39294782280921936,0.3402578830718994,15.935226456575514,0.5712522864341736,0.2081541270017624
547.png,547.png,0.49375125765800476,0.15044645965099335,7.113620054313195,0.005858138203620911,17.11482810974121,0.0021889898413864476,0.0,0.0,0.43175122141838074,74.2872,4.310636072705137,15.10467529296875,48.45264434814453,71.62773132324219,0.4696999788284302,0.3385147750377655,19.13943127138745,0.8497633934020996,0.11786012351512909
55.png,55.png,0.46807968616485596,0.22322998940944672,7.538247840960674,0.003946269862353802,17.844083786010742,0.0018082072857795936,0.0,0.0,0.4293213188648224,96.1632,5.656725795844579,39.91705322265625,60.843936920166016,69.26276397705078,0.39701008796691895,0.1847701072692871,17.61657614128452,0.8603818416595459,0.1454344242811203
665.png,665.png,0.4740055799484253,0.1409343034029007,6.8355314701951295,0.0036283726803958416,22.490293502807617,0.0023813976346515487,0.0,3.3333333333333335e-05,0.43872424960136414,135.5376,4.550818547501106,22.36785888671875,35.92393112182617,69.73772430419922,0.44258376955986023,0.150782972574234,26.677355011336303,0.8143314719200134,0.21736907958984375
669.png,669.png,0.48847436904907227,0.15053576231002808,7.156887050913808,0.004902036860585213,23.555953979492188,0.002106692422209493,0.0,0.0,0.4208427667617798,71.2964,4.748077951696507,25.48260498046875,47.705780029296875,66.97478485107422,0.4302211105823517,0.3503599762916565,25.82884479190994,0.8845798373222351,0.122551828622818
748.png,748.png,0.43272098898887634,0.12151774019002914,6.932946007327558,0.008344631642103195,21.81807518005371,0.0026711774652035196,0.0,0.0013333333333333333,0.3805493414402008,100.404,4.494976268160313,39.10845947265625,48.49407196044922,64.70655059814453,0.4719755947589874,0.33281752467155457,21.161088685889254,0.8792598843574524,0.1107230931520462
778.png,778.png,0.36284103989601135,0.18474596738815308,7.404744023705647,0.02142445184290409,34.701942443847656,0.004077181278049615,0.0,0.0003958333333333333,0.33215394616127014,110.9512,4.107882497361372,27.14154052734375,39.0086555480957,71.71047973632812,0.47235023975372314,0.30290552973747253,23.087101445314325,0.7852925658226013,0.15577059984207153
780.png,780.png,0.33755579590797424,0.15868538618087769,6.892212254661841,0.011183024384081364,40.27830505371094,0.00253265620053533,0.0,0.010204166666666667,0.29559558629989624,175.0336,4.145376446110388,30.25067138671875,34.58174514770508,65.53649139404297,0.5394240021705627,0.1991306096315384,19.648524851887398,0.7518656849861145,0.13635967671871185
79.png,79.png,0.5038027167320251,0.15047067403793335,6.982321536399953,0.003909378778189421,6.466908931732178,0.0019681737465055203,0.0,0.0002375,0.41653749346733093,52.7584,6.413946136743771,37.29669189453125,59.616912841796875,72.80886840820312,0.49070295691490173,0.3792943060398102,17.866787930775775,0.8988772034645081,0.09176284074783325
