dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,candidate,candidate_rank,source_trial,is_source_baseline
lol_v2_real,LOL-v2,Real_captured,final,hpo_candidate_02_trial_0012_3df5d5c6d5_seed_3407,3407,120,78,42,120,120,536463,45be8821fce59d04afc21b6efe6582cf5cf899f9b260cc9f1556ce0e752695de,6322.930052280426,2026-08-12T16:14:03,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705852,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.14,0.02,0.01,0.010000000000000002,78,78,1.73775721632916,0.16479383797749228,512,21.60669656360044,0.8321315050125122,69,hpo_candidate_02_trial_0012_3df5d5c6d5,2,12.0,False
lol_v2_real,LOL-v2,Real_captured,final,hpo_candidate_02_trial_0012_3df5d5c6d5_seed_123,123,120,0,119,119,120,536463,71d55c4bc145c68f8c3af9739182df247a9760851b2ac840e5868d3ba25f69c4,17827.7668633461,2026-08-12T09:29:10,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.14,0.02,0.01,0.01,74,74,1.7173806929933852,0.1532281253324902,512,21.597631205454245,0.8317820282949917,69,hpo_candidate_02_trial_0012_3df5d5c6d5,2,12.0,False
lol_v2_real,LOL-v2,Real_captured,final,hpo_candidate_01_trial_0003_4225fc3909_seed_42,42,120,0,101,101,120,536463,881dbcb19c6438b785eb1853e5ff16207a4129ec2675bac6c6bf294cc8ad6d09,14120.557654619215,2026-08-11T05:25:27,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.18,0.07,0.01,0.003,56,56,1.7282162818355835,0.1793486066702483,512,21.55665411839342,0.8234530246776083,69,hpo_candidate_01_trial_0003_4225fc3909,1,3.0,False
lol_v2_real,LOL-v2,Real_captured,final,hpo_candidate_02_trial_0012_3df5d5c6d5_seed_42,42,120,0,120,120,120,536463,a54372b3660560dddc61b95a76c76b8eebe2952b74c00d75bf7e2a49566f1301,17920.20524764061,2026-08-12T04:32:02,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.14,0.02,0.01,0.01,90,90,1.7384151393088745,0.1664394320029279,512,21.523427918245908,0.8312130432198013,69,hpo_candidate_02_trial_0012_3df5d5c6d5,2,12.0,False
lol_v2_real,LOL-v2,Real_captured,final,hpo_candidate_01_trial_0003_4225fc3909_seed_3407,3407,120,0,120,120,120,536463,caa03ce536141e1b2971eaf1dffc47c3416f94ffd4425e8c3fc52e6f6a718af0,17944.927814245224,2026-08-11T23:33:21,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.18,0.07,0.01,0.003,86,86,1.738100476886915,0.1684113265811533,512,21.4880199563503,0.8290293968242147,69,hpo_candidate_01_trial_0003_4225fc3909,1,3.0,False
lol_v2_real,LOL-v2,Real_captured,final,hpo_candidate_01_trial_0003_4225fc3909_seed_123,123,120,0,119,119,120,536463,f13e4f15deed1c778f57a2a147736928b9c7a9e6357e85fc731d5844f639990b,17807.51703453064,2026-08-11T18:34:15,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.18,0.07,0.01,0.003,74,74,1.7188594825025918,0.1722669629515081,512,21.41318451323723,0.822402954965398,69,hpo_candidate_01_trial_0003_4225fc3909,1,3.0,False
lol_v2_real,LOL-v2,Real_captured,final,source_profile_baseline_seed_123,123,120,0,119,119,120,536463,5f668087b978e1636c4a8e34e7ce9960578bbdd2cbc6bbd3db90f79b5b6a08e6,16781.800380945206,2026-08-10T20:49:30,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,74,74,1.1154032168181047,0.1638321234588174,512,21.26358565434696,0.8272648142731708,69,source_profile_baseline,0,,True
lol_v2_real,LOL-v2,Real_captured,final,source_profile_baseline_seed_3407,3407,120,0,120,120,120,536463,178b23f0cd187c7d307c2327062cd6fde3d0afea14df36d13c2e99ac75aae29f,16835.93590116501,2026-08-11T01:30:06,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,85,85,1.127010074214659,0.1880424735338791,512,21.10062665017748,0.8208919599436332,69,source_profile_baseline,0,,True
lol_v2_real,LOL-v2,Real_captured,final,source_profile_baseline_seed_42,42,120,0,101,101,120,536463,5b0790051c9c3fb63dc419a209b5e70be24d96ed5ffcb4330d627c75c5dcfee3,14224.58228635788,2026-08-10T16:09:47,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,56,56,1.1203942074291948,0.1825802197706872,512,21.077750592177846,0.8200502533843552,69,source_profile_baseline,0,,True
