dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,candidate,candidate_rank,source_trial,is_source_baseline
lol_v1,LOL-v1,,final,hpo_candidate_01_trial_0005_171f3c86dc_seed_42,42,120,0,120,120,120,536463,379c2df913450379390a75c7765f33f53dd846e9ada5b1f19c01aa8f7aed00d2,11692.33708024025,2026-08-10T21:50:08,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.1399999999999999,0.04,0.0,0.05,0.012,88,88,1.5242072666684787,0.1197573846050848,512,22.173050558386745,0.8688249153395494,48,hpo_candidate_01_trial_0005_171f3c86dc,1,5.0,False
lol_v1,LOL-v1,,final,hpo_candidate_02_trial_0002_f1bfd5bf87_seed_42,42,120,0,120,120,120,536463,b3352c7b0c300aade0c8c3f1b14dac984870da64c0bdbba2c758e56311e81540,11704.219232797624,2026-08-11T06:19:38,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.04,0.04,0.07,0.03,0.009,88,88,1.5307728052139282,0.1185471398445467,512,22.009026048499702,0.8681432579954466,48,hpo_candidate_02_trial_0002_f1bfd5bf87,2,2.0,False
lol_v1,LOL-v1,,final,hpo_candidate_01_trial_0005_171f3c86dc_seed_123,123,120,0,103,103,120,536463,c1f39e5857484af271b3212524564a5c6dc79ff818c1b89e239acae87303a374,10084.460729122162,2026-08-11T00:38:13,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.1399999999999999,0.04,0.0,0.05,0.012,58,58,1.5242386907339096,0.1300942402643462,512,21.93907975301336,0.862458135932684,48,hpo_candidate_01_trial_0005_171f3c86dc,1,5.0,False
lol_v1,LOL-v1,,final,hpo_candidate_02_trial_0002_f1bfd5bf87_seed_123,123,120,0,103,103,120,536463,831767393103ae8bc911868f9795ff285d9d104d364adccfb53f287538a11f74,10055.252233982086,2026-08-11T09:07:13,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.04,0.04,0.07,0.03,0.009,58,58,1.5272422805428505,0.1262110465516646,512,21.8915556054222,0.8647580121954282,48,hpo_candidate_02_trial_0002_f1bfd5bf87,2,2.0,False
lol_v1,LOL-v1,,final,hpo_candidate_01_trial_0005_171f3c86dc_seed_3407,3407,120,0,90,90,120,536463,ce8e63bfbfb0b7d30fd0aeb2160f1edda9a25418298c0e957c500292fa93ac1c,8779.4426882267,2026-08-11T03:04:33,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.1399999999999999,0.04,0.0,0.05,0.012,45,45,1.5388481890161831,0.1410643651615828,512,21.881348834033687,0.8644731380045414,48,hpo_candidate_01_trial_0005_171f3c86dc,1,5.0,False
lol_v1,LOL-v1,,final,hpo_candidate_02_trial_0002_f1bfd5bf87_seed_3407,3407,120,0,94,94,120,536463,8330d756811e6b35527c2468c190dcc63a9ff85119f7b24b80d1fd3bd93dea81,9510.27127790451,2026-08-11T16:16:02,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112025,1.4628463833389233e-05,3.0,1.8,0.5,0.1,0.04,0.04,0.07,0.03,0.009000000000000001,49,49,1.5421455204486847,0.13196766190230846,512,21.82168888026193,0.8627699265877405,48,hpo_candidate_02_trial_0002_f1bfd5bf87,2,2.0,False
lol_v1,LOL-v1,,final,source_profile_baseline_seed_42,42,120,0,120,120,120,536463,2408f6efa4081e00e6991a139e610ed5c55751c33e0521da4732972033012367,11732.850905895231,2026-08-10T13:13:07,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,88,88,1.116712599992752,0.1301992855345209,512,21.78017866448376,0.8609758069117864,48,source_profile_baseline,0,,True
lol_v1,LOL-v1,,final,source_profile_baseline_seed_123,123,120,0,103,103,120,536463,5fb9537ea17736bc803e26e7f19b819f3e413bae65a121330478d1305d34db0a,10147.758852243423,2026-08-10T16:02:15,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,58,58,1.116633489727974,0.1369342797746261,512,21.62304236403432,0.8615108082691828,48,source_profile_baseline,0,,True
lol_v1,LOL-v1,,final,source_profile_baseline_seed_3407,3407,120,0,94,94,120,536463,bd02b2133bbf01430c626ee06ef5858b382078ead61cd02cd00d07aaf98c3f26,9180.432823896408,2026-08-10T18:35:16,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,49,49,1.128177285194397,0.1426980935502797,512,21.564324131099507,0.8536417794724306,48,source_profile_baseline,0,,True
