dataset,dataset_variant,file,ablation_variant,psnr,ssim,lpips,lpips_resize
UHD-LL down4,,1003_UHD_LL.JPG,full,19.75740499560408,0.8278817534446716,0.21118950843811035,0.1323772668838501
UHD-LL down4,,1003_UHD_LL.JPG,retinex_base_only,10.661382384546648,0.548482358455658,0.31502455472946167,0.2517282962799072
UHD-LL down4,,1003_UHD_LL.JPG,without_residual_refinement,17.28834578594709,0.8027060031890869,0.2165086567401886,0.13542301952838898
UHD-LL down4,,1003_UHD_LL.JPG,without_tapetum_update,12.60170243510868,0.7455023527145386,0.29900437593460083,0.23521296679973602
UHD-LL down4,,1003_UHD_LL.JPG,without_attention_modulation,19.66812162227846,0.823462724685669,0.21266382932662964,0.13144661486148834
UHD-LL down4,,1003_UHD_LL.JPG,without_spatial_amplification,12.566199841908436,0.7185145020484924,0.3316107988357544,0.2576580345630646
UHD-LL down4,,1003_UHD_LL.JPG,without_high_frequency_cue,19.75672803349855,0.8279898762702942,0.21100427210330963,0.13235458731651306
UHD-LL down4,,1003_UHD_LL.JPG,without_darkness_gate,20.159690453369834,0.8223127126693726,0.20093244314193726,0.12899067997932434
UHD-LL down4,,1009_UHD_LL.JPG,full,27.967672566514477,0.9663567543029785,0.02997789904475212,0.011235404759645462
UHD-LL down4,,1009_UHD_LL.JPG,retinex_base_only,9.510272275934566,0.6223689317703247,0.1865825355052948,0.14674170315265656
UHD-LL down4,,1009_UHD_LL.JPG,without_residual_refinement,18.832810123586444,0.9221483469009399,0.053182538598775864,0.02933599054813385
UHD-LL down4,,1009_UHD_LL.JPG,without_tapetum_update,11.342433836246535,0.7681857347488403,0.16066746413707733,0.11699864268302917
UHD-LL down4,,1009_UHD_LL.JPG,without_attention_modulation,29.709233210177377,0.9676913022994995,0.028788216412067413,0.011281119659543037
UHD-LL down4,,1009_UHD_LL.JPG,without_spatial_amplification,9.16638863879147,0.597204864025116,0.23567399382591248,0.19805313646793365
UHD-LL down4,,1009_UHD_LL.JPG,without_high_frequency_cue,28.564269444956835,0.9676458239555359,0.02912909910082817,0.011183688417077065
UHD-LL down4,,1009_UHD_LL.JPG,without_darkness_gate,23.528205595872166,0.9588118195533752,0.044572047889232635,0.024537798017263412
UHD-LL down4,,1024_UHD_LL.JPG,full,21.17089195311847,0.9436802268028259,0.058871254324913025,0.030600054189562798
UHD-LL down4,,1024_UHD_LL.JPG,retinex_base_only,8.572152591746082,0.5313027501106262,0.22274249792099,0.18230536580085754
