dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,candidate,candidate_rank,source_trial,is_source_baseline
uhd_ll_down4,UHD-LL down4,,final,source_profile_baseline_seed_3407,3407,120,0,120,120,120,536463,2a8319d278f1f9fedad54654e6104bd21d819e2106622f965803dfccf7e4d71f,53585.30366778374,2026-08-14T03:00:07,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,96,96,1.0441896283421024,0.0652237709547425,512,27.2592657163638,0.9281172197440576,116,source_profile_baseline,0,,True
uhd_ll_down4,UHD-LL down4,,final,hpo_candidate_01_trial_0012_fac8898781_seed_42,42,120,11,68,79,120,536463,e9b53682b3a0eccf752bbc99a8083c97f2b299e687100a19bc17636c30e1c30a,29398.8999979496,2026-08-14T14:15:41,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.06,0.01,0.01,34,34,1.359968907874206,0.0745745438295577,512,27.067868259669915,0.923653671453739,116,hpo_candidate_01_trial_0012_fac8898781,1,12.0,False
uhd_ll_down4,UHD-LL down4,,final,source_profile_baseline_seed_123,123,120,26,63,89,120,536463,1b1bde3b0b981c06754d1b612230d89fb3bae3af1f90163c143c4eae77da4c29,27788.691888332367,2026-08-13T12:07:01,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,44,44,1.0590433324205464,0.0707823387026016,512,27.02289965605948,0.9233031098184914,116,source_profile_baseline,0,,True
uhd_ll_down4,UHD-LL down4,,final,hpo_candidate_02_trial_0005_c6633c4117_seed_123,123,120,0,75,75,120,536463,3e466d11c4c22bfc0609db79003c4ffea2875668854e6dcf0d93d63dae647c06,32365.245504379272,2026-08-16T17:11:13,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.08,0.02,0.001,30,30,1.3477014195302437,0.0773261021260686,512,26.923039753157937,0.9255020217648868,116,hpo_candidate_02_trial_0005_c6633c4117,2,5.0,False
uhd_ll_down4,UHD-LL down4,,final,hpo_candidate_02_trial_0005_c6633c4117_seed_3407,3407,120,0,89,89,120,536463,4a24504989cc8e5c34f92c04183b956173d290df80b09f1b414e01ee34dde3d9,38425.80543708801,2026-08-17T03:51:40,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969634,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.08,0.02,0.001,44,44,1.3480992317199707,0.07371868405105739,512,26.90194501095409,0.9263863095949436,116,hpo_candidate_02_trial_0005_c6633c4117,2,5.0,False
uhd_ll_down4,UHD-LL down4,,final,hpo_candidate_02_trial_0005_c6633c4117_seed_42,42,120,52,28,80,120,536463,c08f7cb9ca2fb5f9203d50b96718da548a04dbef5fc1c92daa62103a0503fa81,12120.656197071075,2026-08-16T08:11:48,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.08,0.02,0.001,35,35,1.36585305836694,0.0771080221948695,512,26.8292555442072,0.9265442531684348,116,hpo_candidate_02_trial_0005_c6633c4117,2,5.0,False
uhd_ll_down4,UHD-LL down4,,final,source_profile_baseline_seed_42,42,120,0,120,120,120,536463,a65f88d42d64f3d1e188dd6c51a16624e442fe0a21c766be923f7e6387c59fe7,52122.43876171112,2026-08-12T14:44:54,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,94,94,1.0421985521398742,0.0649435423748118,512,26.823965314561303,0.927459524623279,116,source_profile_baseline,0,,True
uhd_ll_down4,UHD-LL down4,,final,hpo_candidate_01_trial_0012_fac8898781_seed_3407,3407,120,43,38,81,120,536463,45cc980f51b89e663b45bee6e5cc11ad7ec9a9fc644d86a8a03a0e4c9cfb3824,16319.60409450531,2026-08-15T15:30:58,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.06,0.01,0.01,36,36,1.3294214858063336,0.0803686530361401,512,26.66076896009516,0.9222499913182752,116,hpo_candidate_01_trial_0012_fac8898781,1,12.0,False
uhd_ll_down4,UHD-LL down4,,final,hpo_candidate_01_trial_0012_fac8898781_seed_123,123,120,0,89,89,120,536463,f8c614f85c77c48e867ec23a308148fc90d461234e21d35d06785fc1596f4ddd,38306.17164635658,2026-08-15T00:54:08,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.06,0.01,0.01,44,44,1.351662174894892,0.0733839608648599,512,26.623234246999218,0.9261692993599792,116,hpo_candidate_01_trial_0012_fac8898781,1,12.0,False
