dataset,dataset_variant,ablation_variant,matched,psnr,ssim,lpips,lpips_resize
LOL-v2,Real_captured,full,100,19.924322685341682,0.8427627301216125,0.12640610249713063,0.08541493194177746
LOL-v2,Real_captured,retinex_base_only,100,12.922502200544649,0.5630848586559296,0.23802629441022874,0.1984067315608263
LOL-v2,Real_captured,without_residual_refinement,100,22.665845752753498,0.8578930670022964,0.1199188544601202,0.07949586771428585
LOL-v2,Real_captured,without_tapetum_update,100,16.442295082398925,0.7478103470802308,0.19076866932213307,0.14922059200704096
LOL-v2,Real_captured,without_attention_modulation,100,19.716991876212255,0.8404551655054092,0.13102992618456483,0.08769419426098465
LOL-v2,Real_captured,without_spatial_amplification,100,16.44232552216161,0.7477848434448242,0.1907518307864666,0.14926028318703174
LOL-v2,Real_captured,without_high_frequency_cue,100,19.924337600862426,0.8427635622024536,0.1263997307419777,0.08540896207094192
LOL-v2,Real_captured,without_darkness_gate,100,16.242811799132276,0.8006751549243927,0.1563637138530612,0.11435900818556548
