dataset,dataset_variant,filename,dark_pixels,bright_pixels,T_mean,T_median,Td_mean,Td_median,Td_dark_mean,Td_dark_median,Td_bright_mean,Td_bright_median,lambda_dark_mean,lambda_dark_median,lambda_bright_mean,lambda_bright_median,boost_dark_mean,boost_dark_median,boost_bright_mean,boost_bright_median,corr_Td_darkness,corr_boost_darkness,gain_mean,gain_median,gain_dark_mean,gain_bright_mean
UHD-LL down4,,1003_UHD_LL.JPG,518400,0,0.9355729222297668,0.9999979734420776,0.791671633720398,0.8060581684112549,0.791671633720398,0.8060581684112549,nan,nan,1.152502417564392,1.1947543621063232,nan,nan,1.0687566995620728,1.0881785154342651,nan,nan,0.3258363902568817,0.32583650946617126,2.0687568187713623,2.0881786346435547,2.0687568187713623,nan
UHD-LL down4,,1009_UHD_LL.JPG,517456,0,0.9329476952552795,0.9701322913169861,0.710408627986908,0.722358763217926,0.7110831141471863,0.7225818037986755,nan,nan,1.0340676307678223,1.0096619129180908,nan,nan,0.9599622488021851,0.9754854440689087,nan,nan,0.6540078520774841,0.6540080308914185,1.9590516090393066,1.9751843214035034,1.9599621295928955,nan
UHD-LL down4,,1024_UHD_LL.JPG,518301,0,0.9776168465614319,0.9999998807907104,0.7809522151947021,0.7725933790206909,0.7810232043266296,0.7726085186004639,nan,nan,1.0833476781845093,1.0551527738571167,nan,nan,1.054381251335144,1.043021559715271,nan,nan,0.5283962488174438,0.5283964276313782,2.0542855262756348,2.043001174926758,2.0543813705444336,nan
UHD-LL down4,,1043_UHD_LL.JPG,518400,0,0.9574178457260132,0.9999998807907104,0.7913164496421814,0.799335777759552,0.7913164496421814,0.799335777759552,nan,nan,1.1239532232284546,1.094957947731018,nan,nan,1.0682772397994995,1.0791033506393433,nan,nan,-0.008783294819295406,-0.00878331158310175,2.06827712059021,2.079103469848633,2.06827712059021,nan
UHD-LL down4,,1085_UHD_LL.JPG,518399,0,0.9151647686958313,0.9999861717224121,0.8053205609321594,0.8810734152793884,0.805321216583252,0.881073534488678,nan,nan,1.1995108127593994,1.2291834354400635,nan,nan,1.0871838331222534,1.1894493103027344,nan,nan,-0.1166127398610115,-0.1166127547621727,2.0871829986572266,2.1894490718841553,2.087183713912964,nan
UHD-LL down4,,1102_UHD_LL.JPG,383265,0,0.6093358397483826,0.6201508045196533,0.3902779519557953,0.4037037491798401,0.4371786117553711,0.4430901110172272,nan,nan,0.9740012884140015,1.0045433044433594,nan,nan,0.5901910662651062,0.5981716513633728,nan,nan,0.9211132526397705,0.9211132526397705,1.5268751382827759,1.5450000762939453,1.590191125869751,nan
UHD-LL down4,,1124_UHD_LL.JPG,416122,0,0.612995445728302,0.624398410320282,0.4156104028224945,0.43013760447502136,0.44665440917015076,0.45524927973747253,nan,nan,0.9928191900253296,1.0298722982406616,nan,nan,0.6029835343360901,0.6145865321159363,nan,nan,0.8834457397460938,0.8834459781646729,1.561074137687683,1.5806858539581299,1.6029834747314453,nan
UHD-LL down4,,1142_UHD_LL.JPG,431901,0,0.6146582961082458,0.6264064311981201,0.4204849302768707,0.43450406193733215,0.44591039419174194,0.4548420011997223,nan,nan,0.9882060885429382,1.0269203186035156,nan,nan,0.6019790172576904,0.6140367388725281,nan,nan,0.8758894205093384,0.8758896589279175,1.5676546096801758,1.586580514907837,1.6019790172576904,nan
UHD-LL down4,,1165_UHD_LL.JPG,518398,0,0.9765154123306274,0.9998831748962402,0.7747169137001038,0.7967503070831299,0.774718165397644,0.7967506647109985,nan,nan,1.0757259130477905,1.096530795097351,nan,nan,1.0458695888519287,1.0756133794784546,nan,nan,0.6378218531608582,0.6378219723701477,2.045867681503296,2.075613021850586,2.0458695888519287,nan
UHD-LL down4,,1184_UHD_LL.JPG,518400,0,0.9785562753677368,0.9999996423721313,0.7703636288642883,0.794148862361908,0.7703636288642883,0.794148862361908,nan,nan,1.0680081844329834,1.0897376537322998,nan,nan,1.039990782737732,1.0721009969711304,nan,nan,0.5969746112823486,0.596974790096283,2.0399909019470215,2.07210111618042,2.0399909019470215,nan
