dataset,dataset_variant,ablation_variant,matched,psnr,ssim,lpips,lpips_resize
LOL-v1,,full,15,21.063612667605685,0.83548424243927,0.13594986349344254,0.10111701190471649
LOL-v1,,retinex_base_only,15,10.179213306106446,0.47406248847643534,0.30789755483468373,0.2605914185444514
LOL-v1,,without_residual_refinement,15,19.579730151787476,0.8131161451339721,0.14360929131507874,0.10589033762613932
LOL-v1,,without_tapetum_update,15,12.423701849014993,0.6447660287221273,0.27055511077245076,0.2267333447933197
LOL-v1,,without_attention_modulation,15,21.063556695157274,0.8354833722114563,0.13595177878936132,0.10111761838197708
LOL-v1,,without_spatial_amplification,15,12.42484396582187,0.6449337879816691,0.2702791412671407,0.2266261637210846
LOL-v1,,without_high_frequency_cue,15,21.0636103233084,0.8354840159416199,0.13595001995563508,0.10111689070860545
LOL-v1,,without_darkness_gate,15,20.23049323541678,0.8243647972742717,0.14340374867121378,0.11047414168715478
